--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        4.463K         4.978K        |   100   13.3      0    0.0   14.8 
      -21.929K         4.976K        |   101   13.4      0    0.0   14.9 
        2.033K         4.975K        |   102   13.6      0    0.0   15.1 
        5.028K         4.974K        |   103   13.7      0    0.0   15.2 
        6.757K         4.973K        |   104   13.8      0    0.0   15.3 
        5.807K         4.973K        |   105   13.9      0    0.0   15.4 
        3.663K         4.972K        |   106   14.1      0    0.0   15.6 
        4.595K         4.972K        |   107   14.2      0    0.0   15.7 
        5.274K         4.972K        |   108   14.3      0    0.0   15.8 
        3.494K         4.971K        |   109   14.5      0    0.0   16.0 
        4.915K         4.970K        |   110   14.6      0    0.0   16.1 
        3.074K         4.970K        |   111   14.7      0    0.0   16.2 
        3.850K         4.970K        |   112   14.9      0    0.0   16.4 
        3.784K         4.970K        |   113   15.0      0    0.0   16.5 
        3.781K         4.970K        |   114   15.1      0    0.0   16.7 
        4.414K         4.963K        |   115   15.3      0    0.0   16.8 
        4.793K         4.963K        |   116   15.4      0    0.0   16.9 
        2.934K         4.963K        |   117   15.5      0    0.0   17.1 
        7.294K         4.959K        |   118   15.7      0    0.0   17.2 
        4.711K         4.959K        |   119   15.8      0    0.0   17.3 
        3.801K         4.959K        |   120   16.0      0    0.0   17.5 
        3.946K         4.957K        |   121   16.1      0    0.0   17.6 
        5.023K         4.947K        |   122   16.2      0    0.0   17.8 
        4.795K         4.947K        |   123   16.4      0    0.0   17.9 
        4.386K         4.944K        |   124   16.5      0    0.0   18.0 
        5.951K         4.944K        |   125   16.7      0    0.0   18.2 
        3.806K         4.937K        |   126   16.8      0    0.0   18.3 
        4.960K         4.937K        |   127   16.9      0    0.0   18.5 
        4.756K         4.937K        |   128   17.1      0    0.0   18.6 
        2.589K         4.935K        |   129   17.2      0    0.0   18.8 
        2.729K         4.935K        |   130   17.4      0    0.0   18.9 
        8.087K         4.935K        |   131   17.5      0    0.0   19.0 
        2.433K         4.932K        |   132   17.7      0    0.0   19.2 
        6.350K         4.930K        |   133   17.8      0    0.0   19.3 
        2.438K         4.929K        |   134   18.0      0    0.0   19.5 
        5.619K         4.929K        |   135   18.1      0    0.0   19.6 
        2.024K         4.927K        |   136   18.2      0    0.0   19.8 
        4.298K         4.927K        |   137   18.4      0    0.0   19.9 
        3.692K         4.925K        |   138   18.5      0    0.0   20.1 
        4.934K         4.925K        |   139   18.7      0    0.0   20.2 
        6.176K         4.922K        |   140   18.8      0    0.0   20.4 
        5.774K         4.922K        |   141   19.0      0    0.0   20.5 
        5.239K         4.921K        |   142   19.1      0    0.0   20.7 
        5.523K         4.920K        |   143   19.3      0    0.0   20.8 
        7.402K         4.919K        |   144   19.5      0    0.0   21.0 
        4.704K         4.919K        |   145   19.6      0    0.0   21.2 
        5.252K         4.918K        |   146   19.8      0    0.0   21.3 
        4.680K         4.918K        |   147   19.9      0    0.0   21.5 
        5.024K         4.918K        |   148   20.1      0    0.0   21.6 
        6.615K         4.917K        |   149   20.3      0    0.0   21.8 
        7.013K         4.917K        |   150   20.4      0    0.0   22.5 
     -940.263          4.916K        |   151   20.6      0    0.0   22.7 
        7.766K         4.916K        |   152   20.7      0    0.0   22.8 
        4.698K         4.916K        |   153   20.9      0    0.0   22.9 
        4.340K         4.915K        |   154   21.0      0    0.0   23.1 
        4.783K         4.915K        |   155   21.2      0    0.0   23.2 
        4.374K         4.915K        |   156   21.3      0    0.0   23.4 
        3.840K         4.915K        |   157   21.4      0    0.0   23.5 
        4.892K         4.914K        |   158   21.6      0    0.0   23.6 
        6.574K         4.914K        |   159   21.7      0    0.0   23.8 
        2.669K         4.914K        |   160   21.9      0    0.0   23.9 
        2.821K         4.912K        |   161   22.0      0    0.0   24.1 
        3.396K         4.912K        |   162   22.1      0    0.0   24.2 
        2.621K         4.912K        |   163   22.3      0    0.0   24.4 
        5.700K         4.912K        |   164   22.4      0    0.0   24.5 
        4.196K         4.912K        |   165   22.6      0    0.0   24.7 
        5.943K         4.912K        |   166   22.7      0    0.0   24.8 
        3.434K         4.911K        |   167   22.9      0    0.0   25.0 
        5.279K         4.911K        |   168   23.0      0    0.0   25.1 
        6.708K         4.911K        |   169   23.2      0    0.0   25.3 
        7.284K         4.910K        |   170   23.3      0    0.0   25.4 
        2.595K         4.910K        |   171   23.5      0    0.0   25.6 
        7.585K         4.909K        |   172   23.6      0    0.0   25.7 
        6.238K         4.909K        |   173   23.8      0    0.0   25.9 
        4.136K         4.908K        |   174   24.0      0    0.0   26.1 
        3.861K         4.908K        |   175   24.2      0    0.0   26.3 
        6.639K         4.908K        |   176   24.4      0    0.0   26.5 
        3.733K         4.908K        |   177   24.5      0    0.0   26.7 
        4.769K         4.908K        |   178   24.7      0    0.0   26.8 
        4.011K         4.907K        |   179   24.9      0    0.0   27.0 
        2.830K         4.907K        |   180   25.1      0    0.0   27.2 
        5.747K         4.907K        |   181   25.3      0    0.0   27.4 
        4.888K         4.906K        |   182   25.4      0    0.0   27.5 
        4.240K         4.906K        |   183   25.6      0    0.0   27.7 
        3.682K         4.906K        |   184   25.7      0    0.0   27.9 
        5.144K         4.905K        |   185   25.9      0    0.0   28.0 
        6.152K         4.905K        |   186   26.1      0    0.0   28.2 
        5.047K         4.904K        |   187   26.3      0    0.0   28.4 
        4.780K         4.904K        |   188   26.5      0    0.0   28.6 
        7.280K         4.904K        |   189   26.7      0    0.0   28.8 
        2.278K         4.904K        |   190   26.8      0    0.0   29.0 
        4.898K         4.903K        |   191   27.0      0    0.0   29.2 
        3.025K         4.903K        |   192   27.2      0    0.0   29.3 
        5.059K         4.903K        |   193   27.4      0    0.0   29.5 
        7.302K         4.902K        |   194   27.6      0    0.0   29.7 
        3.268K         4.902K        |   195   27.8      0    0.0   29.9 
        4.924K         4.902K        |   196   27.9      0    0.0   30.1 
        3.484K         4.901K        |   197   28.1      0    0.0   30.3 
        6.020K         4.901K        |   198   28.3      0    0.0   30.4 
        2.865K         4.900K        |   199   28.5      0    0.0   30.6 
        5.385K         4.900K        |   200   28.7      0    0.0   31.4 
        3.428K         4.900K        |   201   28.9      0    0.0   31.6 
        3.160K         4.899K        |   202   29.0      0    0.0   31.8 
        5.919K         4.899K        |   203   29.2      0    0.0   31.9 
        7.898K         4.899K        |   204   29.4      0    0.0   32.1 
        5.057K         4.899K        |   205   29.5      0    0.0   32.3 
        1.535K         4.899K        |   206   29.7      0    0.0   32.4 
        6.263K         4.899K        |   207   29.8      0    0.0   32.6 
        3.809K         4.899K        |   208   30.0      0    0.0   32.7 
