--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        2.489K         4.880K        |   435   73.3      0    0.0   78.7 
        3.867K         4.880K        |   436   73.5      0    0.0   78.9 
        5.447K         4.880K        |   437   73.8      0    0.0   79.1 
        5.054K         4.880K        |   438   74.0      0    0.0   79.3 
        4.341K         4.880K        |   439   74.2      0    0.0   79.6 
        4.413K         4.880K        |   440   74.4      0    0.0   79.8 
        3.271K         4.880K        |   441   74.6      0    0.0   80.0 
        4.516K         4.880K        |   442   74.9      0    0.0   80.2 
        5.399K         4.880K        |   443   75.1      0    0.0   80.5 
        4.078K         4.880K        |   444   75.3      0    0.0   80.7 
        4.437K         4.880K        |   445   75.5      0    0.0   80.9 
        4.067K         4.880K        |   446   75.8      0    0.0   81.1 
        7.722K         4.880K        |   447   76.0      0    0.0   81.4 
        6.234K         4.880K        |   448   76.2      0    0.0   81.6 
        5.230K         4.880K        |   449   76.4      0    0.0   81.8 
        5.164K         4.880K        |   450   76.7      0    0.0   82.8 
        3.261K         4.880K        |   451   76.9      0    0.0   83.0 
        5.173K         4.879K        |   452   77.1      0    0.0   83.2 
        3.925K         4.879K        |   453   77.3      0    0.0   83.4 
        3.530K         4.879K        |   454   77.6      0    0.0   83.6 
        5.495K         4.879K        |   455   77.8      0    0.0   83.9 
        4.252K         4.879K        |   456   78.0      0    0.0   84.1 
        3.774K         4.879K        |   457   78.2      0    0.0   84.3 
        3.929K         4.879K        |   458   78.4      0    0.0   84.5 
        6.039K         4.879K        |   459   78.6      0    0.0   84.7 
        6.687K         4.879K        |   460   78.8      0    0.0   84.9 
        4.440K         4.879K        |   461   79.0      0    0.0   85.1 
        4.061K         4.879K        |   462   79.2      0    0.0   85.3 
        6.303K         4.879K        |   463   79.5      0    0.0   85.6 
        2.148K         4.879K        |   464   79.7      0    0.0   85.8 
        3.000K         4.879K        |   465   79.9      0    0.0   86.0 
        3.854K         4.879K        |   466   80.1      0    0.0   86.2 
        6.568K         4.879K        |   467   80.3      0    0.0   86.4 
        4.949K         4.879K        |   468   80.5      0    0.0   86.6 
        2.744K         4.879K        |   469   80.7      0    0.0   86.8 
        3.087K         4.879K        |   470   80.9      0    0.0   87.1 
        7.484K         4.879K        |   471   81.2      0    0.0   87.3 
        3.930K         4.879K        |   472   81.4      0    0.0   87.5 
        5.306K         4.879K        |   473   81.6      0    0.0   87.7 
        3.938K         4.879K        |   474   81.8      0    0.0   87.9 
        6.144K         4.879K        |   475   82.0      0    0.0   88.1 
        3.092K         4.879K        |   476   82.2      0    0.0   88.4 
        4.952K         4.879K        |   477   82.5      0    0.0   88.6 
        5.372K         4.878K        |   478   82.7      0    0.0   88.8 
        8.162K         4.878K        |   479   82.9      0    0.0   89.0 
        5.124K         4.878K        |   480   83.1      0    0.0   89.3 
        6.029K         4.878K        |   481   83.4      0    0.0   89.5 
        2.808K         4.878K        |   482   83.6      0    0.0   89.7 
        6.855K         4.878K        |   483   83.8      0    0.0   89.9 
        5.198K         4.878K        |   484   84.0      0    0.0   90.2 
        2.457K         4.878K        |   485   84.3      0    0.0   90.4 
        3.346K         4.878K        |   486   84.5      0    0.0   90.6 
        5.069K         4.878K        |   487   84.7      0    0.0   90.9 
        4.482K         4.878K        |   488   85.0      0    0.0   91.1 
        2.693K         4.878K        |   489   85.2      0    0.0   91.3 
        3.825K         4.878K        |   490   85.4      0    0.0   91.6 
        5.761K         4.878K        |   491   85.7      0    0.0   91.8 
        5.029K         4.878K        |   492   85.9      0    0.0   92.0 
        4.736K         4.878K        |   493   86.1      0    0.0   92.3 
        5.750K         4.878K        |   494   86.4      0    0.0   92.5 
        5.215K         4.878K        |   495   86.6      0    0.0   92.7 
        7.165K         4.878K        |   496   86.8      0    0.0   93.0 
        5.872K         4.878K        |   497   87.1      0    0.0   93.2 
        4.058K         4.878K        |   498   87.3      0    0.0   93.5 
        7.226K         4.878K        |   499   87.5      0    0.0   93.7 
        4.099K         4.878K        |   500   87.8      0    0.0   94.5 
--------------------------------------------------------------------------------
 ──────────────────────────────────────────────────────────────────────────────
       Timing statistics               Time                   Allocations      
                               ──────────────────────   ───────────────────────
       Tot / % measured:            95.6s / 98.9%           16.5GiB / 100%     

 Section               ncalls     time   %tot     avg     alloc   %tot      avg
 ──────────────────────────────────────────────────────────────────────────────
 Solve                      1    94.5s   100%   94.5s   16.5GiB  100%   16.5GiB
   Iteration Phase        500    87.8s  92.9%   176ms   15.3GiB  92.9%  31.4MiB
     Backward Pass        500    83.9s  88.8%   168ms   15.0GiB  90.8%  30.7MiB
       JuMP.solve       1.12M    67.4s  71.4%  60.4μs   13.3GiB  80.9%  12.5KiB
         optimize!      1.12M    46.3s  48.9%  41.4μs   17.0MiB  0.10%        -
         prep JuMP ...  1.12M    14.0s  14.8%  12.5μs   8.76GiB  53.1%  8.23KiB
         getsolution    1.12M    6.28s  6.65%  5.63μs   4.43GiB  26.9%  4.17KiB
       Cut addition     52.5k    11.3s  11.9%   215μs   1.13GiB  6.88%  22.7KiB
         cut to file    52.5k    366ms  0.39%  6.97μs   70.7MiB  0.42%  1.38KiB
         risk measure   52.5k   62.8ms  0.07%  1.20μs   54.7MiB  0.32%  1.07KiB
     Forward Pass         500    3.92s  4.14%  7.83ms    360MiB  2.13%   737KiB
       JuMP.solve       26.0k    3.53s  3.73%   136μs    333MiB  1.97%  13.1KiB
         optimize!      26.0k    1.95s  2.06%  74.9μs   5.42MiB  0.03%        -
         prep JuMP ...  26.0k    782ms  0.83%  30.1μs    222MiB  1.31%  8.73KiB
         getsolution    26.0k    226ms  0.24%  8.71μs    101MiB  0.60%  3.97KiB
   Cut Selection           10    5.96s  6.30%   596ms   1.17GiB  7.08%   120MiB
 ──────────────────────────────────────────────────────────────────────────────
    Other Statistics:
        Iterations:         500
        Termination Status: max_iterations
================================================================================
