Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Station,Date(NZST),Percent(%),Depth(cm)

Evaporation (Priestley-Taylor ET)
Station,Date(NZST),Amount(mm),Period(Hrs),Type
1615,19970609:0900,0.2,24,T
1615,19970610:0900,0.2,24,T
1615,19970611:0900,0.2,24,T
1615,19970612:0900,0.3,24,T
1615,19970613:0900,0.3,24,T
1615,19970614:0900,0.3,24,T
1615,19970615:0900,0.2,24,T
1615,19970616:0900,0.2,24,T
1615,19970617:0900,0.2,24,T
1615,19970618:0900,0.1,24,T
1615,19970619:0900,0.6,24,T
1615,19970620:0900,0.2,24,T
1615,19970621:0900,0.1,24,T
1615,19970622:0900,0.3,24,T
1615,19970623:0900,0.3,24,T
1615,19970624:0900,0.2,24,T
1615,19970625:0900,0.3,24,T
1615,19970626:0900,0.2,24,T
1615,19970627:0900,0.1,24,T
1615,19970628:0900,0.1,24,T
1615,19970629:0900,0.1,24,T
1615,19970630:0900,0.1,24,T
1615,19970701:0900,0.1,24,T
1615,19970702:0900,0.3,24,T
1615,19970703:0900,0.2,24,T
1615,19970704:0900,0.3,24,T
1615,19970705:0900,0.2,24,T
1615,19970706:0900,0.2,24,T
1615,19970707:0900,0.2,24,T
1615,19970708:0900,0.1,24,T
1615,19970709:0900,0.4,24,T
1615,19970710:0900,0.4,24,T
1615,19970711:0900,0.2,24,T
1615,19970712:0900,0.4,24,T
1615,19970713:0900,0.2,24,T
1615,19970714:0900,0.3,24,T
1615,19970715:0900,0.2,24,T
1615,19970716:0900,0.2,24,T
1615,19970717:0900,0.3,24,T
1615,19970718:0900,0.2,24,T
1615,19970719:0900,0.2,24,T
1615,19970720:0900,0.4,24,T
1615,19970721:0900,0.4,24,T
1615,19970722:0900,0.4,24,T
1615,19970723:0900,0.5,24,T
1615,19970724:0900,0.4,24,T
1615,19970725:0900,0.7,24,T
1615,19970726:0900,0.5,24,T
1615,19970727:0900,0.6,24,T
1615,19970728:0900,0.5,24,T
1615,19970729:0900,0.6,24,T
1615,19970730:0900,0.3,24,T
1615,19970731:0900,0.3,24,T
1615,19970801:0900,0.6,24,T
1615,19970802:0900,0.5,24,T
1615,19970803:0900,0.6,24,T
1615,19970804:0900,0.2,24,T
1615,19970805:0900,0.6,24,T
1615,19970806:0900,0.5,24,T
1615,19970807:0900,0.7,24,T
1615,19970808:0900,0.7,24,T
1615,19970809:0900,0.9,24,T
1615,19970810:0900,0.9,24,T
1615,19970811:0900,0.8,24,T
1615,19970812:0900,0.4,24,T
1615,19970813:0900,0.9,24,T
1615,19970814:0900,0.3,24,T
1615,19970815:0900,0.8,24,T
1615,19970816:0900,0.9,24,T
1615,19970817:0900,0.8,24,T
1615,19970818:0900,1.2,24,T
1615,19970819:0900,1.3,24,T
1615,19970820:0900,0.4,24,T
1615,19970821:0900,1.1,24,T
1615,19970822:0900,0.4,24,T
1615,19970823:0900,0.3,24,T
1615,19970824:0900,0.8,24,T
1615,19970825:0900,1.6,24,T
1615,19970826:0900,1.5,24,T
1615,19970827:0900,1.1,24,T
1615,19970828:0900,1.7,24,T
1615,19970829:0900,1.6,24,T
1615,19970830:0900,0.9,24,T
1615,19970831:0900,1.4,24,T
1615,19970901:0900,1.3,24,T
1615,19970902:0900,1.3,24,T
1615,19970903:0900,1.2,24,T
1615,19970904:0900,1.4,24,T
1615,19970905:0900,0.7,24,T
1615,19970906:0900,1.0,24,T
1615,19970907:0900,1.6,24,T
1615,19970908:0900,0.6,24,T
1615,19970909:0900,0.8,24,T
1615,19970910:0900,0.8,24,T
1615,19970911:0900,1.6,24,T
1615,19970912:0900,2.1,24,T
1615,19970913:0900,1.2,24,T
1615,19970914:0900,1.7,24,T
1615,19970915:0900,2.0,24,T
1615,19970916:0900,2.5,24,T
1615,19970917:0900,2.1,24,T
1615,19970918:0900,1.9,24,T
1615,19970919:0900,1.7,24,T
1615,19970920:0900,2.3,24,T
1615,19970921:0900,1.8,24,T
1615,19970922:0900,1.9,24,T
1615,19970923:0900,1.2,24,T
1615,19970924:0900,0.8,24,T
1615,19970925:0900,0.8,24,T
1615,19970926:0900,1.4,24,T
1615,19970927:0900,2.6,24,T
1615,19970928:0900,0.6,24,T
1615,19970929:0900,3.0,24,T
1615,19970930:0900,1.9,24,T
1615,19971001:0900,2.0,24,T
1615,19971002:0900,2.7,24,T
1615,19971003:0900,1.9,24,T
1615,19971004:0900,2.1,24,T
1615,19971005:0800,1.7,24,T
1615,19971006:0800,1.9,24,T
1615,19971007:0800,2.4,24,T
1615,19971008:0800,2.8,24,T
1615,19971009:0800,3.0,24,T
1615,19971010:0800,2.8,24,T
1615,19971011:0800,1.7,24,T
1615,19971012:0800,2.6,24,T
1615,19971013:0800,2.5,24,T
1615,19971014:0800,2.8,24,T
1615,19971015:0800,3.0,24,T
1615,19971016:0800,2.8,24,T
1615,19971017:0800,2.4,24,T
1615,19971018:0800,3.7,24,T
1615,19971019:0800,1.9,24,T
1615,19971020:0800,1.0,24,T
1615,19971021:0800,3.7,24,T
1615,19971022:0800,2.5,24,T
1615,19971023:0800,3.2,24,T
1615,19971024:0800,2.9,24,T
1615,19971025:0800,3.3,24,T
1615,19971026:0800,3.2,24,T
1615,19971027:0800,4.2,24,T
1615,19971028:0800,4.0,24,T
1615,19971029:0800,3.1,24,T
1615,19971030:0800,4.5,24,T
1615,19971031:0800,4.5,24,T
1615,19971101:0800,4.7,24,T
1615,19971102:0800,5.0,24,T
1615,19971103:0800,3.7,24,T
1615,19971104:0800,3.5,24,T
1615,19971105:0800,4.5,24,T
1615,19971106:0800,3.5,24,T
1615,19971107:0800,1.2,24,T
1615,19971108:0800,3.1,24,T
1615,19971109:0800,3.0,24,T
1615,19971110:0800,3.8,24,T
1615,19971111:0800,4.6,24,T
1615,19971112:0800,3.0,24,T
1615,19971113:0800,2.0,24,T
1615,19971114:0800,2.3,24,T
1615,19971115:0800,2.0,24,T
1615,19971116:0800,4.2,24,T
1615,19971117:0800,1.1,24,T
1615,19971118:0800,2.5,24,T
1615,19971119:0800,3.7,24,T
1615,19971120:0800,2.2,24,T
1615,19971121:0800,4.0,24,T
1615,19971122:0800,4.0,24,T
1615,19971123:0800,4.7,24,T
1615,19971124:0800,5.4,24,T
1615,19971125:0800,5.6,24,T
1615,19971126:0800,4.1,24,T
1615,19971127:0800,4.6,24,T
1615,19971128:0800,5.7,24,T
