--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        4.470K         4.923K        |   100   24.2      0    0.0   25.8 
       -9.122K         4.922K        |   101   24.6      0    0.0   26.2 
      921.248          4.922K        |   102   24.8      0    0.0   26.4 
        2.060K         4.921K        |   103   25.0      0    0.0   26.6 
        1.010K         4.921K        |   104   25.2      0    0.0   26.8 
        5.499K         4.921K        |   105   25.5      0    0.0   27.1 
        3.450K         4.921K        |   106   25.7      0    0.0   27.3 
        4.346K         4.921K        |   107   26.0      0    0.0   27.6 
        4.755K         4.921K        |   108   26.2      0    0.0   27.8 
        3.352K         4.921K        |   109   26.5      0    0.0   28.1 
        4.829K         4.921K        |   110   26.7      0    0.0   28.3 
        2.759K         4.921K        |   111   27.0      0    0.0   28.6 
        3.760K         4.921K        |   112   27.3      0    0.0   28.9 
        3.435K         4.921K        |   113   27.5      0    0.0   29.1 
        3.487K         4.921K        |   114   27.8      0    0.0   29.4 
        4.355K         4.921K        |   115   28.1      0    0.0   29.7 
        4.693K         4.921K        |   116   28.3      0    0.0   29.9 
        2.378K         4.921K        |   117   28.6      0    0.0   30.2 
        7.374K         4.921K        |   118   28.9      0    0.0   30.5 
        4.618K         4.921K        |   119   29.2      0    0.0   30.8 
        3.804K         4.921K        |   120   29.5      0    0.0   31.1 
        3.773K         4.921K        |   121   29.7      0    0.0   31.4 
        4.954K         4.921K        |   122   30.0      0    0.0   31.6 
        4.763K         4.921K        |   123   30.3      0    0.0   31.9 
        4.346K         4.921K        |   124   30.6      0    0.0   32.2 
        6.010K         4.920K        |   125   30.8      0    0.0   32.4 
        3.797K         4.920K        |   126   31.1      0    0.0   32.7 
        4.979K         4.920K        |   127   31.4      0    0.0   33.0 
        4.736K         4.920K        |   128   31.6      0    0.0   33.2 
        2.454K         4.920K        |   129   31.9      0    0.0   33.5 
        2.669K         4.920K        |   130   32.2      0    0.0   33.8 
        8.102K         4.920K        |   131   32.4      0    0.0   34.1 
        2.449K         4.920K        |   132   32.7      0    0.0   34.3 
        6.349K         4.920K        |   133   33.0      0    0.0   34.6 
        2.458K         4.920K        |   134   33.3      0    0.0   34.9 
        5.613K         4.920K        |   135   33.5      0    0.0   35.2 
        2.031K         4.920K        |   136   33.8      0    0.0   35.4 
        4.307K         4.920K        |   137   34.1      0    0.0   35.7 
        3.715K         4.919K        |   138   34.4      0    0.0   36.0 
        4.950K         4.918K        |   139   34.6      0    0.0   36.3 
        6.173K         4.918K        |   140   34.9      0    0.0   36.6 
        5.781K         4.917K        |   141   35.2      0    0.0   36.8 
        5.282K         4.917K        |   142   35.5      0    0.0   37.1 
        5.523K         4.916K        |   143   35.8      0    0.0   37.4 
        7.566K         4.916K        |   144   36.1      0    0.0   37.7 
        4.700K         4.915K        |   145   36.4      0    0.0   38.0 
        5.236K         4.915K        |   146   36.6      0    0.0   38.3 
        4.711K         4.915K        |   147   36.9      0    0.0   38.6 
        5.031K         4.915K        |   148   37.2      0    0.0   38.9 
        6.619K         4.914K        |   149   37.5      0    0.0   39.2 
        7.007K         4.914K        |   150   37.8      0    0.0   40.0 
        5.359K         4.913K        |   151   38.2      0    0.0   40.4 
        7.774K         4.912K        |   152   38.5      0    0.0   40.6 
        4.776K         4.912K        |   153   38.7      0    0.0   40.9 
        4.379K         4.912K        |   154   39.0      0    0.0   41.1 
        4.863K         4.912K        |   155   39.2      0    0.0   41.4 
        4.480K         4.911K        |   156   39.5      0    0.0   41.6 
        3.872K         4.911K        |   157   39.7      0    0.0   41.9 
        4.915K         4.911K        |   158   40.0      0    0.0   42.2 
        6.623K         4.911K        |   159   40.2      0    0.0   42.4 
        2.621K         4.910K        |   160   40.5      0    0.0   42.7 
        2.824K         4.910K        |   161   40.8      0    0.0   43.0 
        3.409K         4.910K        |   162   41.0      0    0.0   43.2 
        2.615K         4.910K        |   163   41.3      0    0.0   43.5 
        5.730K         4.909K        |   164   41.6      0    0.0   43.8 
        4.213K         4.908K        |   165   41.8      0    0.0   44.0 
        5.889K         4.908K        |   166   42.1      0    0.0   44.3 
        3.534K         4.908K        |   167   42.4      0    0.0   44.6 
        5.281K         4.907K        |   168   42.7      0    0.0   44.9 
        6.705K         4.907K        |   169   42.9      0    0.0   45.1 
        7.280K         4.907K        |   170   43.2      0    0.0   45.4 
        2.598K         4.907K        |   171   43.5      0    0.0   45.7 
        7.591K         4.907K        |   172   43.8      0    0.0   46.0 
        6.242K         4.907K        |   173   44.1      0    0.0   46.2 
        4.110K         4.906K        |   174   44.3      0    0.0   46.5 
