--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        9.483K         6.765K        |   100   34.3      0    0.0   34.5 
        6.725K         6.765K        |   101   34.8      0    0.0   35.0 
        9.499K         6.765K        |   102   35.2      0    0.0   35.4 
        8.306K         6.765K        |   103   35.7      0    0.0   35.9 
        4.281K         6.764K        |   104   36.1      0    0.0   36.3 
        6.885K         6.764K        |   105   36.6      0    0.0   36.8 
        5.483K         6.764K        |   106   37.1      0    0.0   37.3 
        7.669K         6.764K        |   107   37.6      0    0.0   37.8 
        5.695K         6.764K        |   108   38.0      0    0.0   38.2 
        6.648K         6.764K        |   109   38.5      0    0.0   38.7 
        7.042K         6.764K        |   110   38.9      0    0.0   39.2 
        9.235K         6.764K        |   111   39.4      0    0.0   39.6 
        6.967K         6.764K        |   112   39.8      0    0.0   40.1 
        3.745K         6.764K        |   113   40.3      0    0.0   40.5 
        9.074K         6.764K        |   114   40.7      0    0.0   41.0 
        9.526K         6.764K        |   115   41.2      0    0.0   41.4 
        8.136K         6.764K        |   116   41.7      0    0.0   41.9 
        5.641K         6.763K        |   117   42.2      0    0.0   42.4 
        7.836K         6.763K        |   118   42.7      0    0.0   42.9 
        6.807K         6.763K        |   119   43.2      0    0.0   43.5 
        9.356K         6.763K        |   120   43.7      0    0.0   43.9 
        5.526K         6.763K        |   121   44.1      0    0.0   44.4 
        7.910K         6.763K        |   122   44.6      0    0.0   44.9 
        6.382K         6.763K        |   123   45.1      0    0.0   45.3 
        8.694K         6.763K        |   124   45.5      0    0.0   45.8 
        6.815K         6.763K        |   125   46.0      0    0.0   46.3 
        8.211K         6.763K        |   126   46.5      0    0.0   46.8 
        6.713K         6.763K        |   127   47.0      0    0.0   47.3 
        9.321K         6.762K        |   128   47.5      0    0.0   47.7 
        4.209K         6.762K        |   129   48.0      0    0.0   48.2 
        7.530K         6.762K        |   130   48.4      0    0.0   48.7 
        9.581K         6.762K        |   131   48.9      0    0.0   49.2 
        6.733K         6.762K        |   132   49.4      0    0.0   49.7 
        4.086K         6.762K        |   133   49.9      0    0.0   50.2 
        8.198K         6.762K        |   134   50.3      0    0.0   50.6 
        6.264K         6.762K        |   135   50.8      0    0.0   51.1 
        8.265K         6.762K        |   136   51.3      0    0.0   51.6 
        7.099K         6.762K        |   137   51.8      0    0.0   52.1 
        6.491K         6.761K        |   138   52.2      0    0.0   52.5 
        6.900K         6.761K        |   139   52.7      0    0.0   53.0 
        8.333K         6.761K        |   140   53.2      0    0.0   53.5 
        7.130K         6.761K        |   141   53.7      0    0.0   54.0 
        6.661K         6.761K        |   142   54.2      0    0.0   54.5 
        9.547K         6.761K        |   143   54.6      0    0.0   55.0 
        6.631K         6.761K        |   144   55.1      0    0.0   55.5 
        7.822K         6.761K        |   145   55.7      0    0.0   56.0 
        7.007K         6.761K        |   146   56.2      0    0.0   56.5 
        6.748K         6.761K        |   147   56.7      0    0.0   57.0 
        8.182K         6.761K        |   148   57.2      0    0.0   57.5 
        6.655K         6.761K        |   149   57.7      0    0.0   58.0 
        7.953K         6.761K        |   150   58.2      0    0.0   58.5 
        5.438K         6.760K        |   151   58.7      0    0.0   59.0 
        6.620K         6.760K        |   152   59.2      0    0.0   59.5 
        4.281K         6.760K        |   153   59.7      0    0.0   60.0 
        6.645K         6.760K        |   154   60.2      0    0.0   60.5 
        4.350K         6.760K        |   155   60.7      0    0.0   61.0 
        6.504K         6.760K        |   156   61.2      0    0.0   61.5 
        8.344K         6.760K        |   157   61.7      0    0.0   62.0 
        6.983K         6.760K        |   158   62.1      0    0.0   62.5 
        5.547K         6.760K        |   159   62.6      0    0.0   63.0 
        6.717K         6.760K        |   160   63.2      0    0.0   63.5 
        8.231K         6.760K        |   161   63.6      0    0.0   64.0 
        5.401K         6.760K        |   162   64.2      0    0.0   64.5 
        5.372K         6.760K        |   163   64.7      0    0.0   65.1 
        4.157K         6.760K        |   164   65.3      0    0.0   65.7 
        5.427K         6.760K        |   165   65.8      0    0.0   66.2 
        8.384K         6.759K        |   166   66.3      0    0.0   66.7 
        6.923K         6.759K        |   167   66.8      0    0.0   67.2 
        4.077K         6.759K        |   168   67.4      0    0.0   67.7 
        9.871K         6.759K        |   169   67.9      0    0.0   68.2 
        6.727K         6.759K        |   170   68.3      0    0.0   68.7 
        4.227K         6.759K        |   171   68.9      0    0.0   69.3 
        6.917K         6.759K        |   172   69.5      0    0.0   69.9 
        9.712K         6.759K        |   173   70.0      0    0.0   70.4 
        5.528K         6.759K        |   174   70.6      0    0.0   70.9 
        7.647K         6.759K        |   175   71.1      0    0.0   71.5 
        5.703K         6.759K        |   176   71.6      0    0.0   72.0 
        5.360K         6.759K        |   177   72.2      0    0.0   72.5 
        4.235K         6.759K        |   178   72.7      0    0.0   73.1 
        9.259K         6.759K        |   179   73.2      0    0.0   73.6 
        7.718K         6.759K        |   180   73.8      0    0.0   74.1 
        5.344K         6.759K        |   181   74.3      0    0.0   74.7 
        6.745K         6.759K        |   182   74.9      0    0.0   75.3 
